Date,Close/Last,Volume,Open,High,Low
01/04/2022,$114.24,8367607,$116.9,$117.05,$114.165
01/03/2022,$116.68,5478426,$116.47,$117.8,$114.78
12/31/2021,$116.97,3674938,$115.67,$117.48,$115.6049
12/30/2021,$116.24,4068918,$116.38,$117.34,$116.08
12/29/2021,$116.38,4215460,$115.3959,$116.96,$115.3103
12/28/2021,$115.57,4562965,$114,$116.2801,$113.81
12/27/2021,$114.22,3717026,$112.6,$114.37,$112.39
12/23/2021,$112.37,3359803,$112.23,$112.91,$111.99
12/22/2021,$111.74,3643281,$110.2,$111.783,$110
12/21/2021,$110.37,4682227,$109,$110.9,$108.87
12/20/2021,$108.09,6313699,$107.07,$108.12,$106.61
12/17/2021,$108.63,13720730,$111.27,$111.8,$108.22
12/16/2021,$113.59,7544369,$115,$115.4,$113.22
12/15/2021,$114.68,6902396,$114.81,$115.2,$112.755
12/14/2021,$114.71,6854618,$114.57,$115.3,$114.03
12/13/2021,$115.56,6479398,$116.16,$116.83,$115.22
12/10/2021,$116.73,6110960,$115.82,$117.09,$115.78
12/09/2021,$115.35,5664678,$115.8,$116.41,$115.24
12/08/2021,$116.25,5806963,$115.78,$116.65,$115.15
12/07/2021,$116.26,8786898,$115.058,$117.19,$114.79
12/06/2021,$113.36,8280227,$112.01,$114.17,$111.71
