Date,Close/Last,Volume,Open,High,Low
01/04/2022,$187.23,8484173,$187,$188.93,$181.01
01/03/2022,$186.21,6004749,$182.91,$186.88,$182.24
12/31/2021,$182.87,4113292,$183.31,$185.145,$182.6
12/30/2021,$182.73,4108415,$185.88,$186.5199,$182.31
12/29/2021,$186.2,5417175,$184.685,$187.39,$184.56
12/28/2021,$184.82,5402761,$186.59,$186.73,$183.49
12/27/2021,$186.33,4867720,$183.21,$186.41,$183.02
12/23/2021,$182.74,4918896,$181.53,$183.71,$181.38
12/22/2021,$181.38,5227183,$179,$181.52,$177.63
12/21/2021,$179.58,7702376,$179.38,$180.15,$174.22
12/20/2021,$176.67,6306381,$174.29,$177.08,$173.46
12/17/2021,$176.8,16264960,$175.725,$180.1195,$175.02
12/16/2021,$178.15,14872970,$190.304,$192.68,$176.11
12/15/2021,$189.28,11082020,$183.97,$189.78,$179.98
12/14/2021,$181.98,8542798,$181.2,$183.9,$179.41
12/13/2021,$183.32,16346800,$186.85,$191.3,$183.11
12/10/2021,$183.88,6854798,$185.55,$185.55,$181.15
12/09/2021,$182.26,9398943,$181.77,$187.84,$181.51
12/08/2021,$182.63,4799371,$183.01,$183.72,$180.78
12/07/2021,$183.72,9910069,$179.07,$184.78,$178.5
12/06/2021,$175.45,8577475,$176.88,$176.9802,$172.27
