Date,Close/Last,Volume,Open,High,Low
01/04/2022,$61.25,29682500,$62.44,$62.81,$61.11
01/03/2022,$63.16,17189200,$62.9,$63.35,$62.5
12/31/2021,$63.37,10359100,$63.545,$63.819,$63.32
12/30/2021,$63.62,9076698,$64.04,$64.14,$63.47
12/29/2021,$63.96,15069940,$63.65,$64.285,$63.55
12/28/2021,$63.53,12871660,$63.42,$63.84,$63.23
12/27/2021,$63.42,14780510,$62.41,$63.47,$62.28
12/23/2021,$62.28,17771400,$61.79,$62.895,$61.79
12/22/2021,$61.53,17095450,$60.97,$61.595,$60.615
12/21/2021,$61.03,20761100,$60.44,$61.2377,$60
12/20/2021,$60.36,21342150,$59.67,$60.41,$59.3
12/17/2021,$60.46,62333270,$60.27,$60.795,$59.785
12/16/2021,$60.31,24599320,$60.05,$60.76,$59.87
12/15/2021,$59.93,27953910,$57.921,$60.03,$57.9
12/14/2021,$57.77,19114190,$58.34,$58.525,$57.37
12/13/2021,$58.61,18496310,$59.1,$59.51,$58.54
12/10/2021,$59.25,19901480,$57.91,$59.34,$57.908
12/09/2021,$57.55,16480250,$57.195,$57.8301,$56.93
12/08/2021,$57.02,23631260,$58.075,$58.13,$56.63
12/07/2021,$58.08,24254770,$57.1,$58.215,$57.01
12/06/2021,$56.96,23172840,$56.7,$57.17,$56.465
